request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,13809621.08,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 24768300 minimum protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps the ZAR 20500 minimum protected over the next 90 days.
request_28,287.47,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,Pay EUR 1302.40 today. This keeps the EUR 1100 minimum protected over the next 90 days.
request_29,351.29,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 28300 minimum protected.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Pay USD 775.20 today. This keeps the USD 900 minimum protected over the next 90 days.
request_31,4063611.74,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18164000 today. This keeps the IDR 16588900 minimum protected over the next 90 days.
request_32,12989.52,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 35700 minimum protected.
request_33,33494.83,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 102100 minimum protected.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This keeps the INR 138500 minimum protected over the next 90 days.
request_35,37035.84,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Pay INR 212000 today. This keeps the INR 106400 minimum protected over the next 90 days.
request_36,719.62,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Pay USD 3954 today. This keeps the USD 2400 minimum protected over the next 90 days.
request_37,4144596.05,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 17056200 minimum protected.
request_38,214.16,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 today. This keeps the EUR 400 minimum protected over the next 90 days.
request_39,66437.08,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Pay INR 208600 today. This keeps the INR 213400 minimum protected over the next 90 days.
request_40,369.69,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,Pay EUR 1290.30 today. This keeps the EUR 1500 minimum protected over the next 90 days.
request_41,9317231.86,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38760000 today. This keeps the IDR 25366600 minimum protected over the next 90 days.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps the INR 113100 minimum protected over the next 90 days.
request_43,8474427.08,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay IDR 43339000 today. This keeps the IDR 21398000 minimum protected over the next 90 days.
request_44,34167.50,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Pay INR 95800 today. This keeps the INR 82900 minimum protected over the next 90 days.
request_45,4902567.15,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21983000 today. This keeps the IDR 11149800 minimum protected over the next 90 days.
request_46,32830.15,affordable_with_plan,partial_payment,2024-12-03:32830.15|2024-12-15:16619.85,2024-12-15,none,Pay INR 49450 today. This keeps the INR 84000 minimum protected over the next 90 days.
request_47,3374606.48,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 30049000 minimum protected.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This keeps the INR 71300 minimum protected over the next 90 days.
request_49,13743636.12,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 20275700 minimum protected.
request_50,43067.09,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,reduce_to:event_4680:1928,Pay INR 43900 today with spending change reduce_to:event_4680:1928. This keeps the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This keeps the IDR 7811000 minimum protected over the next 90 days.
request_52,18617.34,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Pay INR 28870 today. This keeps the INR 41500 minimum protected over the next 90 days.
request_53,507.01,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 2100 minimum protected.
request_54,2465.44,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 37000 minimum protected.
request_55,136906.22,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Pay INR 218600 today. This keeps the INR 124300 minimum protected over the next 90 days.
request_56,733.81,affordable_with_plan,partial_payment,2025-02-03:733.81|2025-02-15:147.75,2025-02-15,none,Pay USD 881.56 today. This keeps the USD 2100 minimum protected over the next 90 days.
request_57,13019.32,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay ZAR 61446 today. This keeps the ZAR 42700 minimum protected over the next 90 days.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This keeps the IDR 14433900 minimum protected over the next 90 days.
request_59,140600,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 132600 minimum protected.
request_60,132.88,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,Pay USD 199.89 today. This keeps the USD 400 minimum protected over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Pay ZAR 29062 today. This keeps the ZAR 36700 minimum protected over the next 90 days.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This keeps the USD 1300 minimum protected over the next 90 days.
request_63,50404.82,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 153500 minimum protected.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 36100 minimum protected.
request_65,5830.08,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps the INR 80700 minimum protected over the next 90 days.
request_67,409.83,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Pay USD 2094 today. This keeps the USD 1200 minimum protected over the next 90 days.
request_68,1240.17,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,Pay USD 2091.60 today. This keeps the USD 1500 minimum protected over the next 90 days.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This keeps the EUR 700 minimum protected over the next 90 days.
request_70,49650.97,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 today. This keeps the INR 115000 minimum protected over the next 90 days.
request_71,1203884.20,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This keeps the ZAR 12200 minimum protected over the next 90 days.
request_73,69711.50,affordable_with_plan,full_payment,2023-01-20:71400,2023-02-15,stop:event_6790|reduce_to:event_6789:1425,Pay INR 71400 today with spending change stop:event_6790|reduce_to:event_6789:1425. This keeps the INR 103200 minimum protected.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This keeps the ZAR 21900 minimum protected over the next 90 days.
request_75,10955.06,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 39000 minimum protected.
request_76,278.24,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This keeps the INR 82200 minimum protected over the next 90 days.
request_78,46996.03,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 55200 minimum protected.
request_79,336.59,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1000 minimum protected.
request_80,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 121300 minimum protected.
request_81,2052.09,affordable_with_plan,full_payment,2026-07-03:2076,2026-09-15,reduce_to:event_7636:37.50,Pay USD 2076 today with spending change reduce_to:event_7636:37.50. This keeps the USD 1600 minimum protected.
request_82,337.84,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Pay USD 1405.20 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_83,9413.02,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 37800 minimum protected.
request_84,25846.57,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Pay INR 95400 today. This keeps the INR 91300 minimum protected over the next 90 days.
request_85,679966.23,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 6396300 minimum protected.
request_86,45971.23,affordable_with_plan,full_payment,2025-08-03:46300,2025-08-23,reduce_to:event_8084:2360,Pay INR 46300 today with spending change reduce_to:event_8084:2360. This keeps the INR 84900 minimum protected.
request_87,15877.29,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 185900 minimum protected.
request_88,10577.15,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Pay ZAR 26092 today. This keeps the ZAR 25800 minimum protected over the next 90 days.
request_89,8893664.47,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 12534700 minimum protected.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This keeps the ZAR 7600 minimum protected over the next 90 days.
request_91,582.22,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,Pay EUR 1927.20 today. This keeps the EUR 2100 minimum protected over the next 90 days.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This keeps the ZAR 28100 minimum protected over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This keeps the USD 1900 minimum protected over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps the EUR 600 minimum protected over the next 90 days.
request_95,13746.22,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 145500 minimum protected.
request_96,77169.23,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,Pay INR 90200 today. This keeps the INR 56500 minimum protected over the next 90 days.
request_97,2794.63,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Pay ZAR 23496 today. This keeps the ZAR 29700 minimum protected over the next 90 days.
request_98,8393.58,affordable_later,wait,2025-10-15:27148,2025-10-15,none,Pay ZAR 27148 today. This keeps the ZAR 30000 minimum protected over the next 90 days.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. This keeps the ZAR 49100 minimum protected over the next 90 days.
request_100,24794.58,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 32500 minimum protected.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This keeps the INR 187400 minimum protected over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Pay EUR 1716 today. This keeps the EUR 900 minimum protected over the next 90 days.
request_103,17929.47,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 125500 minimum protected.
request_104,9141.26,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 24700 minimum protected.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This keeps the INR 73900 minimum protected over the next 90 days.
request_106,481.14,affordable_later,wait,2024-12-15:2207.70,2024-12-15,none,Pay EUR 2207.70 today. This keeps the EUR 1200 minimum protected over the next 90 days.
request_107,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1600 minimum protected.
request_108,2469.68,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the ZAR 24100 minimum protected.
request_109,594.14,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1700 minimum protected.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Pay ZAR 22352 today. This keeps the ZAR 11200 minimum protected over the next 90 days.
request_111,16484583.47,affordable_with_plan,full_payment,2026-04-03:16625000,,reduce_to:event_10300:335350,Pay IDR 16625000 today with spending change reduce_to:event_10300:335350. This keeps the IDR 23022800 minimum protected.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This keeps the EUR 500 minimum protected over the next 90 days.
request_113,27602.39,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Pay INR 36500 today. This keeps the INR 82300 minimum protected over the next 90 days.
request_114,65156.43,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,reduce_to:event_10561:1890,Pay INR 65300 today with spending change reduce_to:event_10561:1890. This keeps the INR 113400 minimum protected.
request_115,14315.19,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 today. This keeps the INR 38800 minimum protected over the next 90 days.
request_116,14427.31,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This keeps the EUR 1000 minimum protected over the next 90 days.
request_118,655.66,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600 minimum protected.
request_119,57278.59,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps the IDR 20050300 minimum protected over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This keeps the USD 800 minimum protected over the next 90 days.
request_122,17335017.16,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 12588500 minimum protected.
request_123,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 18091200 minimum protected.
request_124,1340.33,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 1600 minimum protected.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This keeps the ZAR 11300 minimum protected over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This keeps the INR 129700 minimum protected over the next 90 days.
request_127,10228.60,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Pay ZAR 23980 today. This keeps the ZAR 41000 minimum protected over the next 90 days.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This keeps the ZAR 42600 minimum protected over the next 90 days.
request_129,151.53,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 800 minimum protected.
request_130,434.18,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,Pay USD 1978.80 today. This keeps the USD 1400 minimum protected over the next 90 days.
request_131,1129.81,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,Pay USD 1855.20 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_132,293.84,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Pay USD 379.86 today. This keeps the USD 1100 minimum protected over the next 90 days.
request_133,0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the IDR 9986200 minimum protected.
